@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric

@data
97,'2019/02/12 15:54:38:836',1,395,473,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
98,'2019/02/12 15:54:38:922',1,410,468,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
99,'2019/02/12 15:54:39:019',1,437,465,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
100,'2019/02/12 15:54:39:088',1,460,469,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
101,'2019/02/12 15:54:39:169',1,474,470,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
102,'2019/02/12 15:54:39:271',1,478,454,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
103,'2019/02/12 15:54:39:353',1,472,442,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
104,'2019/02/12 15:54:39:419',1,448,439,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
105,'2019/02/12 15:54:39:503',1,403,446,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
106,'2019/02/12 15:54:39:586',1,356,451,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
107,'2019/02/12 15:54:39:671',1,310,455,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
108,'2019/02/12 15:54:39:755',1,266,453,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
109,'2019/02/12 15:54:39:837',1,244,448,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
110,'2019/02/12 15:54:39:919',1,225,456,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
111,'2019/02/12 15:54:40:002',1,206,464,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
112,'2019/02/12 15:54:40:086',1,191,448,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
113,'2019/02/12 15:54:40:172',1,190,434,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
114,'2019/02/12 15:54:40:255',1,208,428,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
115,'2019/02/12 15:54:40:338',1,243,428,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
116,'2019/02/12 15:54:40:418',1,271,429,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
117,'2019/02/12 15:54:40:502',1,291,416,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
118,'2019/02/12 15:54:40:589',1,260,332,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
119,'2019/02/12 15:54:40:671',1,175,263,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
120,'2019/02/12 15:54:48:087',1,245,207,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
121,'2019/02/12 15:54:48:586',1,219,211,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
122,'2019/02/12 15:54:48:670',1,237,212,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
123,'2019/02/12 15:54:48:756',1,265,220,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
124,'2019/02/12 15:54:48:837',1,292,214,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
125,'2019/02/12 15:54:48:937',1,298,200,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
126,'2019/02/12 15:54:49:002',1,276,196,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
127,'2019/02/12 15:54:49:089',1,259,207,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
128,'2019/02/12 15:54:49:169',1,253,225,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
129,'2019/02/12 15:54:49:254',1,245,239,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
130,'2019/02/12 15:54:49:336',1,221,245,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
131,'2019/02/12 15:54:49:419',1,201,246,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
132,'2019/02/12 15:54:49:507',1,195,234,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
133,'2019/02/12 15:54:49:588',1,208,224,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
134,'2019/02/12 15:54:49:670',1,233,234,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
135,'2019/02/12 15:54:49:754',1,253,257,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
136,'2019/02/12 15:54:49:836',1,301,274,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
137,'2019/02/12 15:54:49:920',1,332,261,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
138,'2019/02/12 15:54:50:004',1,337,247,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
139,'2019/02/12 15:54:50:086',1,293,244,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
140,'2019/02/12 15:54:50:169',1,264,261,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
141,'2019/02/12 15:54:50:253',1,249,275,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
142,'2019/02/12 15:54:50:337',1,225,285,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
143,'2019/02/12 15:54:50:423',1,198,277,0.03009,0.016525,0.916173,0.702007,0.492757,0.822571,0.672449,0.722996,0.682006,0.906745,0.882809,0.469269,0.387066,0.481568,0.176823,0.210314,0.284776,0.379738,0.335044
