@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric

@data
24,'2019/02/12 15:54:10:233',1,353,62,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
25,'2019/02/12 15:54:10:300',1,386,55,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
26,'2019/02/12 15:54:10:383',1,408,62,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
27,'2019/02/12 15:54:10:466',1,424,77,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
28,'2019/02/12 15:54:10:550',1,427,84,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
29,'2019/02/12 15:54:10:636',1,420,93,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
30,'2019/02/12 15:54:10:718',1,388,99,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
31,'2019/02/12 15:54:10:802',1,351,99,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
32,'2019/02/12 15:54:10:882',1,326,94,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
33,'2019/02/12 15:54:10:966',1,291,87,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
34,'2019/02/12 15:54:11:049',1,262,94,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
