@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
79,'2019/02/01 22:36:48:809',1,307,276,0.981242,0.541935,0.278457
80,'2019/02/01 22:36:48:909',1,321,281,0.981242,0.541935,0.278457
81,'2019/02/01 22:36:48:988',1,334,297,0.981242,0.541935,0.278457
82,'2019/02/01 22:36:49:069',1,345,311,0.981242,0.541935,0.278457
83,'2019/02/01 22:36:49:156',1,356,317,0.981242,0.541935,0.278457
84,'2019/02/01 22:36:49:237',1,362,317,0.981242,0.541935,0.278457
85,'2019/02/01 22:36:49:320',1,370,313,0.981242,0.541935,0.278457
86,'2019/02/01 22:36:49:405',1,380,308,0.981242,0.541935,0.278457
87,'2019/02/01 22:36:49:489',1,387,307,0.981242,0.541935,0.278457
88,'2019/02/01 22:36:49:570',1,396,308,0.981242,0.541935,0.278457
89,'2019/02/01 22:36:49:652',1,405,314,0.981242,0.541935,0.278457
90,'2019/02/01 22:36:49:738',1,411,316,0.981242,0.541935,0.278457
91,'2019/02/01 22:36:49:821',1,413,315,0.981242,0.541935,0.278457
92,'2019/02/01 22:36:55:272',1,159,257,0.683313,0.156256,0.092766
93,'2019/02/01 22:36:55:757',1,187,242,0.683313,0.156256,0.092766
94,'2019/02/01 22:36:55:856',1,196,241,0.683313,0.156256,0.092766
95,'2019/02/01 22:36:55:938',1,205,241,0.683313,0.156256,0.092766
96,'2019/02/01 22:36:56:021',1,221,246,0.683313,0.156256,0.092766
97,'2019/02/01 22:36:56:104',1,235,249,0.683313,0.156256,0.092766
98,'2019/02/01 22:36:56:188',1,257,236,0.683313,0.156256,0.092766
99,'2019/02/01 22:36:56:273',1,260,231,0.683313,0.156256,0.092766
100,'2019/02/01 22:37:03:373',1,234,165,0.552267,0.256562,0.412951
101,'2019/02/01 22:37:03:872',1,321,255,0.552267,0.256562,0.412951
102,'2019/02/01 22:37:03:954',1,335,255,0.552267,0.256562,0.412951
103,'2019/02/01 22:37:04:039',1,347,252,0.552267,0.256562,0.412951
104,'2019/02/01 22:37:04:123',1,363,251,0.552267,0.256562,0.412951
105,'2019/02/01 22:37:04:205',1,383,258,0.552267,0.256562,0.412951
106,'2019/02/01 22:37:04:289',1,394,264,0.552267,0.256562,0.412951
107,'2019/02/01 22:37:04:370',1,407,262,0.552267,0.256562,0.412951
108,'2019/02/01 22:37:04:454',1,414,260,0.552267,0.256562,0.412951
109,'2019/02/01 22:37:04:538',1,416,259,0.552267,0.256562,0.412951
110,'2019/02/01 22:37:11:674',1,328,384,0.005,0.6875,0.412951
111,'2019/02/01 22:37:12:174',1,375,249,0.005,0.6875,0.412951
112,'2019/02/01 22:37:12:254',1,378,218,0.005,0.6875,0.412951
